Frequency,Nominal,Min,Max
31000,0.0000010902141085531067,5.052696068511487e-7,0.0000024743373976275267
31500,0.0000010838715116430532,5.078120144381525e-7,0.0000024638731294883226
32000,0.0000010783830607864225,5.090905031858281e-7,0.0000024715264675841075
33000,0.0000010701527971410783,4.765081774067558e-7,0.0000024018696765129813
34000,0.0000010587713611294587,4.547105116797873e-7,0.0000021202877845713076
35000,0.0000010127067530304291,4.4567062177354296e-7,0.000001738909615765961
36000,8.811044149638433e-7,4.4616873273236135e-7,0.000001412510777234654
37000,6.771359117154781e-7,3.142271233749312e-7,0.0000011523306321234266
39000,3.4460856193870143e-7,1.7063492464278284e-7,7.483092478828676e-7
40000,2.513465848314083e-7,1.3297574218992726e-7,5.562259243412845e-7
41000,1.8961616157441984e-7,1.0704934361271164e-7,4.0284120696952874e-7
42000,1.4791086568750773e-7,8.863954071348749e-8,2.954990098784702e-7
43200,1.1425007882853753e-7,7.294254830080342e-8,2.112893874671718e-7
44500,9.009855815189824e-8,6.099055065469253e-8,1.5422514293065718e-7
45800,7.370624062107101e-8,5.2400160993178587e-8,1.1789743423066377e-7
47500,5.9267253427935407e-8,4.4372707971014753e-8,8.802305909779776e-8
48800,5.155125556071134e-8,3.983967608829001e-8,7.306864308700213e-8
50000,4.609012410504226e-8,3.649711655278404e-8,6.299097903500847e-8
51500,4.081260523624445e-8,3.3136706251218874e-8,5.3707552024461236e-8
53000,3.673860730271717e-8,3.043774385013659e-8,4.688354090236735e-8
55000,3.257589755653635e-8,2.756805323444371e-8,4.025150980273831e-8
56500,3.011962167569013e-8,2.5814078880862957e-8,3.651152304390509e-8
58000,2.807381506300432e-8,2.4315151957178003e-8,3.349930234986073e-8
60000,2.5821395092955633e-8,2.2621872214744906e-8,3.029330137112281e-8
61500,2.440335065886337e-8,2.1531513697879644e-8,2.8334658007495506e-8
63000,2.3165773977252634e-8,2.0563998040800787e-8,2.666276943862042e-8
64500,2.2074571929183834e-8,1.9698354131395264e-8,2.5217206074929418e-8
66000,2.1103769713434127e-8,1.8918210743744004e-8,2.3953217494444014e-8
67500,2.0233256374445144e-8,1.8210603019326965e-8,2.2837063774472725e-8
68800,1.954763252354932e-8,1.7647922885092055e-8,2.1969166014781016e-8
70000,1.8963829474106488e-8,1.716509460164259e-8,2.1237735300824413e-8
71500,1.8291883081156114e-8,1.660517069429253e-8,2.0404270143977028e-8
73200,1.7597716774778114e-8,1.602205931235117e-8,1.9552399450103323e-8
75000,1.6929683866690615e-8,1.5456477841856527e-8,1.8741079757290946e-8
76500,1.641850525935401e-8,1.502081147531751e-8,1.8125677491378476e-8
78000,1.594358985998482e-8,1.4613848491492208e-8,1.7557999586986732e-8
